state,abbr,investor_originations,investor_volume_usd,investor_share,denial_rate,investor_median_rate,owner_median_rate,rate_premium_bps,investor_median_ltv,business_purpose_share,cash_out_share
"Alabama",AL,9484,1953890000,0.1060,0.1560,7.375,6.375,100,75.0,0.7048,0.1719
"Alaska",AK,595,189225000,0.0580,0.2024,7.375,6.25,113,75.0,0.6218,0.2286
"Arizona",AZ,11106,4333690000,0.0780,0.1838,7.125,6.375,75,70.0,0.6821,0.2276
"Arkansas",AR,7583,1512815000,0.1445,0.0834,7.35,6.49,86,75.0,0.6528,0.0632
"California",CA,53082,36062990000,0.1180,0.1838,7.125,6.375,75,68.2,0.7192,0.2823
"Colorado",CO,8487,3803135000,0.0674,0.1862,7.125,6.375,75,70.0,0.6926,0.1987
"Connecticut",CT,5463,1940365000,0.0957,0.2073,7.375,6.5,88,74.8,0.8287,0.2943
"Delaware",DE,1706,454110000,0.0805,0.1575,7.25,6.49,76,75.0,0.7515,0.2632
"District of Columbia",DC,936,571530000,0.1184,0.3168,7.249,6.375,87,70.0,0.7500,0.2842
"Florida",FL,47108,17589410000,0.1187,0.2270,7.25,6.375,88,71.4,0.7997,0.2244
"Georgia",GA,19636,5051400000,0.1002,0.1831,7.25,6.375,88,75.0,0.6755,0.1930
"Hawaii",HI,2646,1682060000,0.1649,0.2515,7.125,6.125,100,67.7,0.7404,0.1878
"Idaho",ID,3050,1047770000,0.0704,0.1646,6.99,6.375,62,70.0,0.5456,0.1793
"Illinois",IL,18177,5426755000,0.0958,0.1681,7.35,6.625,72,75.0,0.6877,0.1962
"Indiana",IN,9999,2666035000,0.0725,0.1706,7.374,6.625,75,75.0,0.7139,0.2165
"Iowa",IA,5392,860730000,0.0905,0.0687,7,6.375,63,75.0,0.4809,0.0606
"Kansas",KS,5883,1086285000,0.1213,0.0886,7.5,6.5,100,75.0,0.6034,0.1254
"Kentucky",KY,7129,1439225000,0.0942,0.1066,7.25,6.5,75,75.0,0.6151,0.1401
"Louisiana",LA,7478,1402330000,0.1362,0.1425,7.5,6.49,101,75.0,0.4961,0.1516
"Maine",ME,1630,537020000,0.0650,0.2103,7.371,6.625,75,74.6,0.7110,0.1724
"Maryland",MD,9232,2482140000,0.0899,0.2485,7.375,6.49,88,75.0,0.7494,0.2270
"Massachusetts",MA,9554,5839160000,0.0918,0.1680,7.05,6.5,55,70.0,0.7456,0.2002
"Michigan",MI,11632,4801930000,0.0679,0.2056,7.5,6.625,88,75.0,0.7742,0.2582
"Minnesota",MN,5741,1461275000,0.0596,0.1102,7.125,6.5,63,75.0,0.5210,0.0972
"Mississippi",MS,5444,855600000,0.1313,0.1235,7.5,6.49,101,75.0,0.7496,0.0850
"Missouri",MO,14413,2724215000,0.1216,0.1151,7.375,6.5,88,75.0,0.6502,0.1309
"Montana",MT,1445,623865000,0.0814,0.1311,7,6.399,60,69.9,0.7038,0.1370
"Nebraska",NE,3613,716055000,0.1009,0.0865,7.125,6.49,63,74.1,0.5544,0.0789
"Nevada",NV,5483,1940915000,0.0978,0.1740,7.125,6.375,75,70.0,0.7432,0.1884
"New Hampshire",NH,1465,548085000,0.0563,0.1866,7.25,6.625,63,75.0,0.6969,0.2157
"New Jersey",NJ,17612,7579750000,0.1277,0.1817,7.375,6.5,88,71.3,0.8159,0.2812
"New Mexico",NM,1956,504440000,0.0637,0.2122,7.25,6.49,76,74.2,0.6554,0.2771
"New York",NY,21609,11404705000,0.1257,0.2044,7.25,6.5,75,70.0,0.8630,0.2760
"North Carolina",NC,20219,5708015000,0.0922,0.1675,7,6.25,75,74.7,0.7105,0.1689
"North Dakota",ND,943,188845000,0.0862,0.0513,6.875,6.35,53,75.0,0.6214,0.0647
"Ohio",OH,19768,3329640000,0.0936,0.1792,7.5,6.625,88,75.0,0.7643,0.2223
"Oklahoma",OK,9848,1854960000,0.1552,0.0947,7.375,6.5,88,75.0,0.6422,0.0943
"Oregon",OR,4681,1726255000,0.0736,0.1635,7.125,6.5,63,70.0,0.7206,0.2536
"Pennsylvania",PA,22765,4872395000,0.1151,0.1706,7.375,6.5,88,75.0,0.7810,0.2296
"Rhode Island",RI,1538,682250000,0.0796,0.1867,7.25,6.625,63,70.0,0.7802,0.3277
"South Carolina",SC,8299,2452775000,0.0723,0.1836,7.25,6.25,100,75.0,0.7043,0.1739
"South Dakota",SD,1060,253160000,0.0754,0.0661,7.25,6.375,88,75.0,0.6453,0.0755
"Tennessee",TN,14642,4179270000,0.1062,0.1470,7.25,6.375,88,75.0,0.6755,0.1692
"Texas",TX,46626,12398440000,0.1015,0.1823,7.125,6.25,88,75.0,0.6890,0.1909
"Utah",UT,4868,2086990000,0.0660,0.1874,6.99,6.49,50,70.0,0.7134,0.1865
"Vermont",VT,676,232070000,0.0716,0.1443,6.9,6.5,40,75.0,0.7086,0.1139
"Virginia",VA,12284,3617260000,0.0768,0.1715,7.25,6.375,88,74.4,0.6951,0.1932
"Washington",WA,9241,4378455000,0.0699,0.1888,7,6.375,63,70.0,0.7384,0.2138
"West Virginia",WV,1850,328210000,0.0816,0.1490,7.25,6.49,76,75.0,0.5714,0.1308
"Wisconsin",WI,8498,1897500000,0.0749,0.1274,7.125,6.5,63,75.0,0.6757,0.1805
"Wyoming",WY,739,283095000,0.0706,0.1213,7,6.25,75,73.1,0.5873,0.1258
